id_processo,id_cliente,id_fornecedor,incoterm,modal,data_embarque,data_chegada_prevista,data_chegada_real,status,taxa_cambio_usd_brl,lead_time_previsto_dias,lead_time_real_dias,desvio_lead_time_dias,flag_atraso,flag_atraso_grave,ano_embarque,mes_embarque,trimestre,ano_mes,custo_total_brl,custo_armazenagem_brl,custo_demurrage_brl,custo_despachante_brl,custo_frete_internacional_brl,custo_icms_brl,custo_imposto_importação_brl,custo_seguro_brl,valor_total_usd,valor_total_brl,custo_sobre_valor,flag_cambio_alto,peso_total_kg,custo_por_kg_brl,nome_cliente,segmento,estado,nome_fornecedor,pais,lead_time_medio_dias,confiabilidade
16,199,44,FOB,Marítimo,2024-02-28,2024-03-24,2024-03-23,Desembaraçado,5.6148,25,24,-1,0,0,2024,2,1,2024-02,249174.66,2447.58,0.0,1733.4,36179.78,86544.77,116139.77,6129.36,106339.38,597074.350824,0.4173,1,1842.46,135.24,Pro Horizonte Trading Ltda,Varejo,DF,3M Supply Chain,China,38,Alta
17,8,47,CIF,Marítimo,2023-05-13,2023-07-10,2023-07-10,Desembaraçado,5.1273,58,58,0,0,0,2023,5,2,2023-05,155207.35,4129.23,0.0,2704.33,14555.43,70701.39,60757.84,2359.13,77719.04,398488.83379199996,0.3895,0,103.766,1495.74,Pro Corp Importações S.A.,Varejo,RJ,John Deere Supply,Coreia do Sul,34,Alta
19,2,6,FOB,Marítimo,2023-05-31,2023-07-10,2023-07-10,Entregue,5.226,40,40,0,0,0,2023,5,2,2023-05,461900.18,3446.18,0.0,3111.13,118312.31,188569.27,141736.89,6724.4,226196.84,1182104.68584,0.3907,0,3527.0180000000005,130.96,Brasil Corp Importações S.A.,Varejo,SP,Ford Components LLC,México,28,Alta
20,191,18,FOB,Marítimo,2023-09-16,2023-10-11,2023-10-12,Atrasado,5.1012,25,26,1,1,0,2023,9,3,2023-09,1582120.22,2239.75,0.0,4081.01,455928.06,544795.85,533541.4,41534.15,681396.17,3475938.1424040003,0.4552,0,3797.9700000000003,416.57,Brasil Star Indústria e Comércio Ltda,Industrial,MS,Panasonic Supply Japan,México,32,Média
21,44,34,EXW,Marítimo,2024-06-20,2024-08-05,2024-08-05,Entregue,5.5613,46,46,0,0,0,2024,6,2,2024-06,153716.16,5284.64,3194.76,3466.33,49579.09,45634.3,43635.28,2921.76,53868.72,299580.11253600003,0.5131,1,2717.5759999999996,56.56,Norte Real Indústria e Comércio Ltda,Industrial,GO,Italian Precision Parts,Japão,25,Alta
22,95,48,FOB,Marítimo,2023-02-16,2023-04-12,2023-04-26,Atrasado,5.0884,55,69,14,1,1,2023,2,1,2023-02,2651715.1,4216.19,0.0,3391.54,677192.94,1061579.25,841806.01,63529.17,1208074.65,6147167.049059999,0.4314,0,34959.54,75.85,Centro Alfa Importações S.A.,Varejo,RS,Parker Hannifin Corp,China,39,Média
23,15,72,CIF,Marítimo,2024-10-02,2024-11-11,2024-11-09,Entregue,5.6499,40,38,-2,0,0,2024,10,4,2024-10,298321.87,1701.13,0.0,1339.36,15556.87,135050.28,138681.14,5993.09,162654.68,918982.676532,0.3246,1,312.818,953.66,Group Vega Logística e Comércio Eireli,Automotivo,RS,Grammer AG Components,EUA,36,Alta
24,190,40,FOB,Marítimo,2023-02-14,2023-04-14,2023-04-25,Atrasado,5.4262,59,70,11,1,1,2023,2,1,2023-02,309077.10000000003,2622.97,7654.46,2817.3,69022.97,119729.41,97333.39,9896.6,162336.22,880868.796964,0.3509,0,238.163,1297.75,Âncora Vega Importações S.A.,Varejo,RJ,Hyundai Global Parts,China,60,Média
25,82,53,EXW,Marítimo,2023-03-06,2023-04-28,2023-04-27,Desembaraçado,5.1779,53,52,-1,0,0,2023,3,1,2023-03,440250.52,2391.81,0.0,4117.83,130615.12,137522.56,159518.04,6085.16,157957.51,817888.1910290001,0.5383,0,1987.8,221.48,Sul Nacional Grupo Industrial S.A.,Eletrônico,PR,ABB Switzerland Supply,China,21,Alta
26,188,41,CIF,Aéreo,2024-10-19,2024-10-26,2024-10-24,Entregue,5.5787,7,5,-2,0,0,2024,10,4,2024-10,1608099.74,3060.08,0.0,3360.88,233060.32,620229.08,718746.07,29643.31,663045.9,3698934.16233,0.4347,1,22841.231,70.4,Atlântico Corp Exportações e Importações Ltda,Industrial,AM,Kia Supply Chain Korea,China,39,Alta
27,157,15,FOB,Marítimo,2024-02-12,2024-03-12,2024-03-12,Entregue,5.1554,29,29,0,0,0,2024,2,1,2024-02,364677.9,1650.23,2490.8,4761.4,66815.37,166452.76,110090.99,12416.35,202201.97999999998,1042432.087692,0.3498,0,8354.56,43.65,Prime Ômega Indústria e Comércio Ltda,Industrial,CE,Infosys Supply Chain,China,60,Média
28,136,88,CIF,Marítimo,2024-05-06,2024-07-04,2024-07-03,Entregue,5.2796,59,58,-1,0,0,2024,5,2,2024-05,720002.3999999999,3240.34,5457.27,4607.68,60974.74,300104.91,330548.73,15068.73,430573.60000000003,2273256.37856,0.3167,0,17388.596,41.41,Federal Solar Soluções Industriais S.A.,Industrial,GO,Traton Group Parts,China,15,Alta
30,163,33,CIF,Marítimo,2024-03-29,2024-05-14,2024-05-14,Entregue,5.3062,46,46,0,0,0,2024,3,1,2024-03,10352.95,4226.97,0.0,3152.35,412.0,1394.71,1104.5,62.42,2088.45,11081.733389999998,0.9342,0,50.886,203.45,Star Porto Indústria e Comércio Ltda,Varejo,AM,Ho Chi Minh Trade,China,32,Alta
31,123,5,FOB,Marítimo,2024-11-28,2025-01-27,2025-01-27,Em trânsito,5.6239,60,60,0,0,0,2024,11,4,2024-11,16875.149999999998,3912.12,823.96,2062.39,2186.65,3628.33,4165.96,95.74,3742.39,21046.827121,0.8018,1,86.08600000000001,196.03,Delta Pacífico Tecnologia e Comércio Ltda,Varejo,AM,General Motors Supply,Índia,27,Alta
32,28,7,FOB,Marítimo,2024-08-06,2024-10-02,2024-09-30,Desembaraçado,5.5844,57,55,-2,0,0,2024,8,3,2024-08,1184790.77,953.48,0.0,1637.18,286923.01,417407.36,453573.98,24295.76,420132.8,2346189.6083199997,0.505,1,13790.217,85.92,Apex Corp Tecnologia e Comércio Ltda,Automotivo,CE,American Industrial Parts,EUA,38,Alta
34,151,62,CIF,Marítimo,2023-02-28,2023-04-27,2023-04-26,Desembaraçado,5.0958,58,57,-1,0,0,2023,2,1,2023-02,1871197.6400000001,4279.76,0.0,4479.31,210148.76,819861.06,789825.28,42603.47,1224817.34,6241424.201172,0.2998,0,12915.474,144.88,Brasil Titan Trading Ltda,Industrial,AM,ZF Friedrichshafen AG,Índia,41,Média
37,101,47,EXW,Marítimo,2023-04-20,2023-06-09,2023-06-08,Desembaraçado,5.2731,50,49,-1,0,0,2023,4,2,2023-04,299035.01,2024.16,0.0,4543.45,112058.73,96615.34,81028.13,2765.2,108603.28,572675.955768,0.5222,0,1687.6019999999999,177.2,Porto Net Distribuidora Nacional S.A.,Eletrônico,PR,John Deere Supply,Coreia do Sul,34,Alta
38,142,27,FOB,Marítimo,2023-02-09,2023-04-03,2023-04-13,Atrasado,5.1992,53,63,10,1,0,2023,2,1,2023-02,1439894.64,1407.0,0.0,4486.38,437511.19,644656.48,316000.91,35832.68,690447.46,3589774.434032,0.4011,0,18232.762,78.97,Alfa Corp Indústria e Comércio Ltda,Industrial,SP,DJI Supply Co.,China,34,Média
40,179,63,CIF,Marítimo,2023-06-22,2023-08-17,2023-08-16,Entregue,5.1965,56,55,-1,0,0,2023,6,2,2023-06,17827.8,2162.13,0.0,4690.5,591.24,4547.45,5495.93,340.55,5506.43,28614.163495000004,0.623,0,557.6279999999999,31.97,Star Corp Distribuidora Nacional S.A.,Industrial,SC,Schaeffler Group,EUA,18,Alta
42,151,15,CIF,Aéreo,2023-09-02,2023-09-16,2023-09-16,Desembaraçado,5.3276,14,14,0,0,0,2023,9,3,2023-09,168519.58,629.92,0.0,2341.44,46234.9,65205.48,50047.53,4060.31,77710.69,414011.47204400005,0.407,0,3989.2319999999995,42.24,Brasil Titan Trading Ltda,Industrial,AM,Infosys Supply Chain,China,60,Média
43,171,29,FOB,Marítimo,2023-01-10,2023-02-27,2023-02-26,Entregue,4.9842,48,47,-1,0,0,2023,1,1,2023-01,438938.22000000003,719.65,0.0,4670.68,96360.46,194524.29,130667.15,11995.99,227543.85,1134124.0571700002,0.387,0,11631.922999999999,37.74,Star Plus Importações S.A.,Automotivo,AM,CATL Energy Components,EUA,16,Alta
44,66,42,CIF,Marítimo,2024-05-16,2024-06-21,2024-07-06,Atrasado,5.3909,36,51,15,1,1,2024,5,2,2024-05,348712.12000000005,1859.76,0.0,1467.83,17724.41,162301.19,157737.45,7621.48,233054.63,1256374.204867,0.2776,0,11997.615,29.07,Delta Alfa Logística e Comércio Eireli,Eletrônico,AM,Daewoo Components,Coreia do Sul,77,Baixa
46,28,44,FOB,Marítimo,2024-01-06,2024-01-31,2024-01-30,Desembaraçado,5.3921,25,24,-1,0,0,2024,1,1,2024-01,92589.11,3906.28,0.0,1542.57,21415.71,28599.89,35118.3,2006.36,33962.26,183127.902146,0.5056,0,1556.245,59.5,Apex Corp Tecnologia e Comércio Ltda,Automotivo,CE,3M Supply Chain,China,38,Alta
47,84,30,CIF,Aéreo,2024-10-10,2024-10-21,2024-10-20,Desembaraçado,5.5204,11,10,-1,0,0,2024,10,4,2024-10,711268.0299999999,1349.24,0.0,2033.47,94893.07,247583.87,352797.73,12610.65,342470.08,1890571.8296320003,0.3762,1,10825.407,65.7,Prime Atlântico Grupo Industrial S.A.,Industrial,AM,Midea Industrial,Alemanha,87,Baixa
49,190,97,CIF,Marítimo,2024-10-11,2024-12-10,2024-12-09,Entregue,5.6644,60,59,-1,0,0,2024,10,4,2024-10,228529.58,1690.18,0.0,3908.29,19926.84,111696.22,84361.69,6946.36,128762.75,729363.7211,0.3133,1,5819.594,39.27,Âncora Vega Importações S.A.,Varejo,RJ,GKN Aerospace Parts,Japão,53,Média
50,121,77,EXW,Aéreo,2024-01-22,2024-02-04,2024-02-19,Atrasado,5.2073,13,28,15,1,1,2024,1,1,2024-01,5136678.41,2364.29,1294.98,6001.24,2745941.44,1260499.96,1030859.19,89717.31,1517891.6,7904116.928680001,0.6499,0,12820.088000000002,400.67,Inter Nacional Exportações e Importações Ltda,Eletrônico,RJ,Delphi Technologies,EUA,36,Alta
51,3,70,FOB,Marítimo,2024-05-20,2024-06-20,2024-06-29,Atrasado,5.1355,31,40,9,1,0,2024,5,2,2024-05,70900.4,1944.51,0.0,2151.42,18002.02,24910.82,23075.36,816.27,32741.129999999997,168142.073115,0.4217,0,270.28999999999996,262.31,Global Titan Trading Ltda,Automotivo,PE,Dräxlmaier Group,Japão,89,Baixa
52,165,97,EXW,Marítimo,2024-07-10,2024-08-20,2024-08-30,Atrasado,5.5339,41,51,10,1,0,2024,7,3,2024-07,2886585.4899999998,1760.28,0.0,4222.99,1057577.16,737710.12,1035180.61,50134.33,1067138.06,5905435.310234,0.4888,1,29542.967,97.71,Meridian Brasil Indústria e Comércio Ltda,Industrial,BA,GKN Aerospace Parts,Japão,53,Média
53,51,44,CIF,Aéreo,2023-05-01,2023-05-09,2023-05-08,Entregue,5.0847,8,7,-1,0,0,2023,5,2,2023-05,280702.76,3332.65,0.0,4646.25,84594.56,111703.62,68833.55,7592.13,165046.88,839213.870736,0.3345,0,2546.5829999999996,110.23,Ômega Ômega Grupo Industrial S.A.,Varejo,PE,3M Supply Chain,China,38,Alta
54,160,96,CIF,Aéreo,2024-05-26,2024-06-02,2024-06-01,Entregue,5.397,7,6,-1,0,0,2024,5,2,2024-05,26842.36,2591.9,0.0,4060.78,4746.87,5679.42,9382.1,381.29,8746.29,47203.72713000001,0.5686,0,144.105,186.27,Multi Delta Exportações e Importações Ltda,Industrial,CE,Rolls-Royce Components,Alemanha,34,Média
55,180,62,CIF,Aéreo,2023-07-30,2023-08-13,2023-08-13,Entregue,5.2301,14,14,0,0,0,2023,7,3,2023-07,224569.09,1344.03,0.0,1892.9,56062.0,74320.83,87640.92,3308.41,115004.43000000001,601484.669343,0.3734,0,8689.839,25.84,Corp Nacional Distribuidora Nacional S.A.,Industrial,DF,ZF Friedrichshafen AG,Índia,41,Média
56,113,56,CIF,Marítimo,2024-11-19,2024-12-20,2025-01-02,Atrasado,5.3909,31,44,13,1,1,2024,11,4,2024-11,530502.86,4142.98,2871.17,2096.51,42546.94,256015.54,211705.84,11123.88,305509.64,1646971.918276,0.3221,0,11904.171999999999,44.56,Nacional Meridian Trading Ltda,Varejo,SC,Bayer Industrial AG,China,45,Média
58,54,87,EXW,Marítimo,2024-03-15,2024-05-10,2024-05-10,Entregue,5.7001,56,56,0,0,0,2024,3,1,2024-03,2926450.47,4594.92,5631.37,2179.86,1090981.34,1027812.16,748013.32,47237.5,1375802.9100000001,7842214.1672910005,0.3732,1,11633.221,251.56,Inter Solar Grupo Industrial S.A.,Automotivo,CE,Wabash National,EUA,26,Alta
60,160,70,CIF,Aéreo,2024-09-26,2024-10-06,2024-10-06,Entregue,5.7881,10,10,0,0,0,2024,9,3,2024-09,1724821.92,555.04,2285.6,1719.78,311370.19,693248.71,678020.51,37622.09,705374.66,4082779.069546,0.4225,1,4112.287,419.43,Multi Delta Exportações e Importações Ltda,Industrial,CE,Dräxlmaier Group,Japão,89,Baixa
61,160,68,CIF,Aéreo,2024-01-04,2024-01-10,2024-01-10,Entregue,5.3254,6,6,0,0,0,2024,1,1,2024-01,544562.97,2144.51,0.0,3649.13,113186.78,177733.99,234745.57,13102.99,239234.16999999998,1274017.648918,0.4274,0,3579.734,152.12,Multi Delta Exportações e Importações Ltda,Industrial,CE,Mann+Hummel Group,México,43,Média
62,145,38,FOB,Marítimo,2023-07-04,2023-08-18,2023-08-17,Entregue,5.1301,45,44,-1,0,0,2023,7,3,2023-07,621374.58,1912.71,0.0,4289.21,150712.3,209015.73,246584.98,8859.65,307710.67,1578586.5081669998,0.3936,0,13291.858,46.75,Atlântico Nexus Comércio Exterior Ltda,Industrial,DF,Nissan Mexico Supply,China,26,Alta
63,24,69,EXW,Marítimo,2023-12-05,2024-01-02,2024-01-02,Desembaraçado,5.4972,28,28,0,0,0,2023,12,4,2023-12,6285242.92,2262.67,0.0,2302.27,2189156.48,1719148.71,2279280.55,93092.24,2138379.57,11755100.172203999,0.5347,0,64540.556,97.38,Sul Corp Soluções Industriais S.A.,Industrial,RJ,Leoni Wire Systems,China,32,Alta
64,139,16,FOB,Aéreo,2024-07-23,2024-07-28,2024-07-27,Entregue,5.6693,5,4,-1,0,0,2024,7,3,2024-07,2409521.13,1315.36,2867.91,2220.41,1221330.85,539247.01,604551.84,37987.75,628013.7999999999,3560398.6363399993,0.6768,1,9309.097,258.84,Atlas Meridian Importações S.A.,Eletrônico,RS,Wipro Industrial India,EUA,59,Baixa
65,97,73,FOB,Marítimo,2023-09-11,2023-10-16,2023-11-02,Atrasado,5.1458,35,52,17,1,1,2023,9,3,2023-09,162786.19,761.18,0.0,2291.5,30622.2,68440.47,56478.96,4191.88,80239.01,412893.897658,0.3943,0,5916.606999999999,27.51,Sul Pro Indústria e Comércio Ltda,Varejo,AM,Modine Manufacturing,EUA,35,Alta
68,147,20,CIF,Marítimo,2024-06-30,2024-07-25,2024-07-24,Entregue,5.3708,25,24,-1,0,0,2024,6,2,2024-06,113574.21,1519.24,7006.42,3059.33,10332.46,50237.91,39597.38,1821.47,65756.72,353166.191776,0.3216,0,3018.556,37.63,Ômega Centro Indústria e Comércio Ltda,Industrial,RJ,LG Components Co.,China,56,Média
70,128,39,FOB,Aéreo,2024-01-23,2024-02-01,2024-02-01,Entregue,5.2557,9,9,0,0,0,2024,1,1,2024-01,87089.51999999999,2797.65,0.0,4518.58,29736.05,22877.42,25602.88,1556.94,25403.28,133512.01869599998,0.6523,0,376.173,231.51,Trans Porto Logística e Comércio Eireli,Eletrônico,DF,Honda Mexico Industrial,Japão,36,Alta
72,178,23,FOB,Marítimo,2024-06-25,2024-08-02,2024-07-31,Entregue,5.586,38,36,-2,0,0,2024,6,2,2024-06,20706.09,1725.35,0.0,2104.2,5246.39,6294.9,5135.63,199.62,8907.79,49758.91494000001,0.4161,1,68.4,302.72,Âncora Horizonte Grupo Industrial S.A.,Varejo,DF,Haier Global Trade,Taiwan,28,Alta
73,159,94,CIF,Marítimo,2023-12-21,2024-02-11,2024-02-09,Entregue,5.2173,52,50,-2,0,0,2023,12,4,2023-12,48632.09,4342.62,0.0,2484.8,3981.04,18680.85,18129.43,1013.35,22351.93,116616.724389,0.417,0,351.67800000000005,138.29,Horizonte Federal Soluções Industriais S.A.,Varejo,GO,MTU Friedrichshafen,Índia,27,Alta
74,144,90,FOB,Marítimo,2023-08-07,2023-09-02,2023-09-01,Entregue,5.3273,26,25,-1,0,0,2023,8,3,2023-08,622492.88,3931.19,0.0,3932.14,130509.92,201384.6,269745.28,12989.75,271017.99,1443794.138127,0.4312,0,5965.449,104.35,Alfa Inter Soluções Industriais S.A.,Varejo,GO,Kubota Industrial,EUA,57,Média
75,112,60,CIF,Marítimo,2023-01-22,2023-03-13,2023-03-13,Entregue,5.0978,50,50,0,0,0,2023,1,1,2023-01,180537.85,3258.92,7250.66,2032.7,13663.42,80875.15,69277.58,4179.42,103187.75,526030.5119500001,0.3432,0,1937.891,93.16,Real Norte Distribuidora Nacional S.A.,Eletrônico,SP,Faurecia Components,Índia,57,Média
76,160,9,FOB,Aéreo,2024-03-01,2024-03-07,2024-03-06,Desembaraçado,5.4542,6,5,-1,0,0,2024,3,1,2024-03,51982.619999999995,790.42,0.0,4713.34,24860.64,12341.31,8889.72,387.19,12587.62,68655.39700400001,0.7572,0,505.29999999999995,102.87,Multi Delta Exportações e Importações Ltda,Industrial,CE,BMW Parts GmbH,China,25,Alta
77,99,19,EXW,Marítimo,2024-01-10,2024-02-24,2024-03-08,Atrasado,5.4183,45,58,13,1,1,2024,1,1,2024-01,137462.50999999998,1331.14,0.0,5857.19,45407.38,36825.47,46634.31,1407.02,51059.95,276658.127085,0.4969,0,554.0550000000001,248.1,Tech Real Tecnologia e Comércio Ltda,Varejo,MS,Samsung Industrial Korea,Coreia do Sul,32,Média
78,152,54,FOB,Marítimo,2024-08-22,2024-09-20,2024-09-18,Entregue,5.5605,29,27,-2,0,0,2024,8,3,2024-08,8183064.91,4072.41,7449.68,3402.39,1740393.9,3254180.41,2949651.79,223914.33,3375269.92,18768188.39016,0.436,1,86460.108,94.65,Apex Solar Indústria e Comércio Ltda,Automotivo,MG,Philips Industrial,China,34,Média
79,120,33,EXW,Marítimo,2024-03-26,2024-05-22,2024-05-20,Entregue,5.3312,57,55,-2,0,0,2024,3,1,2024-03,142770.44999999998,6379.63,0.0,3787.74,37952.92,48349.63,44539.33,1761.2,55036.44,293410.268928,0.4866,0,957.407,149.12,Apex Horizonte Importações S.A.,Automotivo,MS,Ho Chi Minh Trade,China,32,Alta
81,166,84,CIF,Marítimo,2023-02-21,2023-03-27,2023-03-27,Desembaraçado,4.8908,34,34,0,0,0,2023,2,1,2023-02,2723166.59,1417.32,0.0,1200.33,320849.7,1422979.58,871577.21,105142.45,1936801.65,9472509.50982,0.2875,0,18452.417,147.58,Plus Âncora Exportações e Importações Ltda,Automotivo,GO,Dorman Products,China,39,Alta
83,93,18,FOB,Marítimo,2024-06-08,2024-07-10,2024-07-10,Entregue,5.4894,32,32,0,0,0,2024,6,2,2024-06,91857.8,1436.88,2091.62,4178.2,22961.02,36772.53,22389.69,2027.86,39558.7,217153.52777999997,0.423,0,21.1,4353.45,Delta Solar Distribuidora Nacional S.A.,Automotivo,GO,Panasonic Supply Japan,México,32,Média
85,189,41,EXW,Marítimo,2024-11-25,2025-01-05,2025-01-04,Em trânsito,5.4366,41,40,-1,0,0,2024,11,4,2024-11,255863.57,3340.94,5753.0,5461.34,74398.61,80771.92,81363.8,4773.96,87350.94,474892.12040400004,0.5388,0,962.886,265.73,Plus Corp Comércio Exterior Ltda,Automotivo,RS,Kia Supply Chain Korea,China,39,Alta
91,21,30,CIF,Aéreo,2024-05-08,2024-05-16,2024-05-27,Atrasado,5.6088,8,19,11,1,1,2024,5,2,2024-05,2164036.91,3590.23,0.0,1527.69,591369.86,856857.06,644218.74,66473.33,1109183.51,6221188.470888,0.3478,1,30512.153000000002,70.92,Global Ômega Importações S.A.,Eletrônico,AM,Midea Industrial,Alemanha,87,Baixa
92,197,61,EXW,Marítimo,2024-02-03,2024-03-06,2024-03-04,Desembaraçado,5.5143,32,30,-2,0,0,2024,2,1,2024-02,44861.34,5172.02,0.0,5571.58,14934.71,10331.01,7982.4,869.62,15203.53,83836.825479,0.5351,1,756.5120000000001,59.3,Alfa Pro Soluções Industriais S.A.,Eletrônico,RJ,Continental Automotive,EUA,47,Média
93,48,19,EXW,Aéreo,2024-04-01,2024-04-07,2024-04-06,Desembaraçado,5.5949,6,5,-1,0,0,2024,4,2,2024-04,1171983.4,5650.23,2094.51,5658.74,695726.49,229754.84,222995.04,10103.55,252324.55,1411730.6247949998,0.8302,1,6207.943,188.79,Apex Nacional Comércio Exterior Ltda,Varejo,PR,Samsung Industrial Korea,Coreia do Sul,32,Média
94,17,44,FOB,Marítimo,2024-07-24,2024-08-18,2024-08-16,Entregue,5.5506,25,23,-2,0,0,2024,7,3,2024-07,155994.16,2674.68,4680.82,1500.84,47060.68,65131.69,32695.68,2249.77,68421.54000000001,379780.59992400004,0.4107,1,2797.123,55.77,Inter Meridian Trading Ltda,Varejo,BA,3M Supply Chain,China,38,Alta
95,158,93,CIF,Marítimo,2024-08-08,2024-09-25,2024-09-24,Desembaraçado,5.5871,48,47,-1,0,0,2024,8,3,2024-08,42353.130000000005,3812.44,4331.66,4216.45,2620.25,15560.85,11328.35,483.13,18211.32,101748.465972,0.4163,1,11.552,3666.3,Inter Âncora Distribuidora Nacional S.A.,Automotivo,GO,Perkins Engines Ltd,China,51,Média
96,124,37,CIF,Aéreo,2023-05-18,2023-05-25,2023-05-23,Entregue,5.1356,7,5,-2,0,0,2023,5,2,2023-05,302621.53,1091.29,0.0,2719.64,34996.96,110412.22,144311.98,9089.44,171497.04,880740.1986240001,0.3436,0,3440.143,87.97,Prime Tech Logística e Comércio Eireli,Automotivo,DF,Volkswagen Mexico Parts,Alemanha,43,Média
98,99,60,FOB,Marítimo,2023-05-03,2023-06-23,2023-06-23,Entregue,5.1574,51,51,0,0,0,2023,5,2,2023-05,102725.85,596.83,0.0,1309.25,20380.63,52015.91,27091.96,1331.27,63077.740000000005,325317.136276,0.3158,0,953.099,107.78,Tech Real Tecnologia e Comércio Ltda,Varejo,MS,Faurecia Components,Índia,57,Média
102,58,67,FOB,Marítimo,2024-03-15,2024-04-29,2024-04-27,Entregue,5.4156,45,43,-2,0,0,2024,3,1,2024-03,485611.77,3172.57,0.0,2233.86,110285.33,170481.28,192461.89,6976.84,244262.04,1322825.5038240002,0.3671,0,923.944,525.59,Uni Inter Importações S.A.,Automotivo,PE,Webasto Group GmbH,EUA,40,Alta
104,86,23,CIF,Marítimo,2023-03-02,2023-04-24,2023-04-23,Desembaraçado,5.0225,53,52,-1,0,0,2023,3,1,2023-03,90435.88,2896.85,2681.25,2084.21,6333.92,36011.48,39147.64,1280.53,58976.15,296207.713375,0.3053,0,2681.1849999999995,33.73,Meridian Federal Soluções Industriais S.A.,Eletrônico,RS,Haier Global Trade,Taiwan,28,Alta
